Date,mktvw,rf,EEM,EFA,IWD,IWF,IWN,IWO,LQD,SHY,TLT
1/29/2016,-0.05709,0.0001,-0.050326,-0.055177,-0.052831,-0.056795,-0.065477,-0.105974,0.001228,0.00652,0.055731
2/29/2016,0.00062,0.0002,-0.008178,-0.033345,0,0,0.006052,-0.008432,0.010528,0.001121,0.030866
3/31/2016,0.070506,0.0002,0.129617,0.065821,0.072667,0.067362,0.082707,0.076195,0.036162,0.001376,-0.000896
4/29/2016,0.011719,0.0001,0.004088,0.022218,0.021051,-0.00922,0.021357,0.01101,0.015539,0.000361,-0.007368
5/31/2016,0.014341,0.0001,-0.036929,-0.000856,0.014669,0.019624,0.017863,0.027672,-0.005124,-0.001188,0.008077
6/30/2016,0.002947,0.0002,0.04557,-0.024185,0.008401,-0.004365,0.004336,-0.004355,0.030901,0.00602,0.069335
7/29/2016,0.038819,0.0002,0.053696,0.039681,0.028923,0.047544,0.053591,0.064102,0.012946,-0.000465,0.021001
8/31/2016,0.0028,0.0002,0.008977,0.005428,0.007672,-0.005157,0.024244,0.010861,0.001816,-0.002335,-0.010114
9/30/2016,0.003014,0.0002,0.025185,0.013368,-0.00228,0.00299,0.007256,0.014195,-0.003158,0.001296,-0.015085
10/31/2016,-0.021546,0.0002,-0.008278,-0.022155,-0.014959,-0.023327,-0.031217,-0.060645,-0.015281,-0.000486,-0.0438
11/30/2016,0.040492,0.0001,-0.044157,-0.017814,0.056421,0.021919,0.131652,0.08894,-0.031669,-0.004704,-0.082139
12/30/2016,0.018765,0.0003,-0.002474,0.027063,0.026271,0.012976,0.042068,0.014096,0.008403,0.000713,-0.004606
1/31/2017,0.022156,0.0004,0.066552,0.032912,0.00607,0.032888,-0.008492,0.014941,0.001451,0.001066,0.008142
2/28/2017,0.032602,0.0004,0.017408,0.011907,0.034957,0.040794,0.014076,0.025666,0.013212,0.000367,0.015861
3/31/2017,0.002062,0.0003,0.036852,0.032317,-0.009655,0.012093,-0.008379,0.010848,-0.002937,0.000634,-0.00652
4/28/2017,0.009656,0.0005,0.017009,0.024241,-0.001914,0.022232,0.003724,0.018867,0.011878,0.001876,0.015707
5/31/2017,0.009336,0.0006,0.028457,0.035423,-0.001656,0.025875,-0.030607,-0.008378,0.013337,0.000732,0.018895
6/30/2017,0.009572,0.0006,0.009311,0.003086,0.01659,-0.002681,0.033922,0.033307,0.004805,-0.000785,0.007918
7/31/2017,0.02028,0.0007,0.058227,0.026534,0.012882,0.026203,0.007437,0.009951,0.007662,0.00186,-0.00658
8/31/2017,0.0016,0.0009,0.023516,-0.000448,-0.012031,0.018159,-0.024517,-0.000588,0.006761,0.002022,0.034069
9/29/2017,0.023729,0.0009,-0.000446,0.023617,0.029241,0.01226,0.071504,0.054569,-0.000483,-0.001867,-0.023217
10/31/2017,0.019275,0.0009,0.032805,0.016793,0.007426,0.039181,0.000483,0.014752,0.001923,-0.000918,-0.000379
11/30/2017,0.027231,0.0008,-0.003889,0.006894,0.030488,0.029471,0.02899,0.028469,-0.001236,-0.002156,0.007423
12/29/2017,0.012122,0.0009,0.037688,0.013521,0.015805,0.009308,-0.009569,0.001743,0.012194,-0.000207,0.01808
1/31/2018,0.050577,0.0011,0.08298,0.050206,0.0378,0.069498,0.012247,0.037761,-0.012257,-0.002862,-0.032556
2/28/2018,-0.039454,0.0011,-0.058985,-0.048348,-0.048357,-0.026034,-0.049886,-0.02751,-0.022357,-0.001003,-0.030388
3/29/2018,-0.018421,0.0012,0.005414,-0.008396,-0.017563,-0.027091,0.011183,0.013002,0.005573,0.002474,0.028582
4/30/2018,0.004679,0.0014,-0.028169,0.015212,0.003168,0.002645,0.018461,0.002204,-0.015659,-0.002343,-0.020882
5/31/2018,0.026146,0.0014,-0.026215,-0.018943,0.0059,0.043826,0.058326,0.062255,0.005225,0.003525,0.020053
6/29/2018,0.005359,0.0014,-0.045391,-0.01567,0.002726,0.009619,0.004187,0.007147,-0.004869,0.000438,0.006468
7/31/2018,0.031573,0.0016,0.03531,0.02852,0.038591,0.028864,0.01808,0.017308,0.013441,-0.000602,-0.014367
8/31/2018,0.030226,0.0016,-0.037673,-0.022358,0.014204,0.054234,0.02394,0.061576,0.000206,0.003469,0.013095
